id,raw_category,category,count,nyuClass,nyu40class,nyu40id,eigen13class,eigen13id,ours,ade20k,ade class,replicaid,replicaclass,ModelNet40,ModelNet10,ShapeNetCore55,synsetoffset,wnsynsetid,wnsynsetkey,mpcat40,mpcat40index,wn199,coco-panoptic-133,coco-panoptic-133-id,color
1,wall,wall,8277,wall,wall,1,Wall,12.0,wall,0,wall,93,wall,,,,,n04546855,wall.n.01,wall,1.0,1.0,,,174-199-232
2,chair,chair,4646,chair,chair,5,Chair,4.0,chair,19,chair,20,chair,chair,chair,chair,3001627.0,n03001627,chair.n.01,chair,3.0,2.0,chair,,188-189-34
22,books,book,1678,book,books,23,Books,2.0,book,67,book,13,book,,,,,n02870526,book.n.11,objects,39.0,3.0,book,,192-229-91
3,floor,floor,1553,floor,floor,2,Floor,5.0,floor,3,floor,40,floor,,,,,n03365592,floor.n.01,floor,2.0,6.0,,,152-223-138
5,door,door,1483,door,door,8,Wall,12.0,door,"14,58","door, screen door",37,door,door,,,,n03221720,door.n.01,door,4.0,5.0,door-stuff,,214-39-40
1163,object,object,1313,,otherprop,40,Objects,7.0,,,,,,,,,,,,objects,39.0,,,,98-141-208
16,window,window,1209,window,window,9,Window,13.0,window,8,windowpane,97,window,,,,,n04587648,window.n.01,window,9.0,9.0,,,197-176-213
4,table,table,1170,table,table,7,Table,10.0,table,"15,64","table, coffee table",80,table,table,table,table,4379243.0,n04379243,table.n.02,table,5.0,8.0,,,255-152-150
56,trash can,trash can,1090,garbage bin,otherfurniture,39,Furniture,6.0,container,138,ashcan,10,bin,,,trash_bin,2747177.0,n02747177,ashcan.n.01,objects,39.0,7.0,,,38-96-167
13,pillow,pillow,937,pillow,pillow,18,Objects,7.0,pillow,"57,39","pillow, cushion","61,29","pillow, cushion",,,pillow,3938244.0,n03938244,cushion.n.03,cushion,8.0,12.0,pillow,,141-91-229
15,picture,picture,862,picture,picture,11,Picture,8.0,decor,,,59,picture,,,,,n03931044,picture.n.01,picture,6.0,14.0,,,196-156-148
41,ceiling,ceiling,806,ceiling,ceiling,22,Ceiling,3.0,ceiling,5,ceiling,31,ceiling,,,,,n02990373,ceiling.n.01,ceiling,17.0,15.0,,,186-197-62
26,box,box,775,box,box,29,Objects,7.0,box,41,box,15,box,,,,,n02883344,box.n.01,objects,39.0,13.0,,,177-82-239
161,doorframe,doorframe,768,door,door,8,Wall,12.0,doorframe,"14,58","door, screen door",37,door,door,,,,,doorframe.n.01,door,4.0,16.0,door-stuff,,64-160-250
19,monitor,monitor,765,monitor,otherprop,40,Objects,7.0,monitor,"141,130,143","crt screen, screen, monitor",52,monitor,monitor,monitor,tv or monitor,3211117.0,n03782190,display.n.06,objects,39.0,11.0,,,229-91-223
7,cabinet,cabinet,731,cabinet,cabinet,3,Furniture,6.0,cabinet,"10,99","cabinet, buffet","18,94","cabinet, wall-cabinet",,,cabinet,2933112.0,n02933112,cabinet.n.01,cabinet,7.0,4.0,cabinet-merged,,31-119-180
9,desk,desk,680,desk,desk,14,Table,10.0,table,33,desk,34,desk,desk,desk,table,4379243.0,n03179701,desk.n.01,table,5.0,17.0,,,247-182-210
8,shelf,shelf,641,shelves,shelves,15,Furniture,6.0,shelf,24,shelf,71,shelf,bookshelf,,bookshelf,2871439.0,n02871439,bookshelf.n.01,shelving,31.0,10.0,,,229-91-104
10,office chair,office chair,595,chair,chair,5,Chair,4.0,chair,75,swivel chair,20,chair,chair,chair,chair,3001627.0,n04373704,swivel_chair.n.01,chair,3.0,18.0,,,91-229-110
31,towel,towel,570,towel,towel,27,Objects,7.0,fabric,81,towel,86,towel,,,,,n04459362,towel.n.01,towel,20.0,19.0,towel,,62-143-148
6,couch,couch,502,sofa,sofa,6,Sofa,9.0,couch,23,sofa,76,sofa,sofa,sofa,sofa,4256520.0,n04256520,sofa.n.01,sofa,10.0,20.0,couch,,91-135-229
14,sink,sink,488,sink,sink,34,Objects,7.0,sink,47,sink,74,sink,sink,,,,n04223580,sink.n.01,sink,15.0,21.0,sink,,112-128-144
48,backpack,backpack,479,"backpack, bag","otherprop, bag","40,37",Objects,7.0,bag,115,bag,1,backpack,,,,,n02769748,backpack.n.01,objects,39.0,22.0,backpack,,143-245-111
28,lamp,lamp,419,lamp,lamp,35,Objects,7.0,lamp,36,lamp,47,lamp,lamp,,lamp,3636649.0,n03636649,lamp.n.02,lighting,28.0,23.0,,,237-204-37
11,bed,bed,370,bed,bed,4,Bed,1.0,bed,7,bed,7,bed,bed,bed,bed,2818832.0,n02818832,bed.n.01,bed,11.0,27.0,,,255-187-120
18,bookshelf,bookshelf,360,bookshelf,bookshelf,10,Furniture,6.0,shelf,62,bookcase,71,shelf,bookshelf,,bookshelf,2871439.0,n02871439,bookshelf.n.01,shelving,31.0,10.0,,,148-103-189
71,mirror,mirror,349,mirror,mirror,19,Objects,7.0,mirror,27,mirror,,,,,,,n03773035,mirror.n.01,mirror,21.0,29.0,mirror-stuff,,162-62-60
21,curtain,curtain,347,curtain,curtain,16,Window,13.0,curtain,18,curtain,30,curtain,curtain,,,,n03151077,curtain.n.01,curtain,12.0,28.0,curtain,,219-219-141
40,plant,plant,331,plant,otherprop,40,Objects,7.0,plant,"4,17,66,72","tree, plant, flower, palm",44,indoor-plant,plant,,,,n00017222,plant.n.02,plant,14.0,30.0,"flower, tree-merged",,150-53-56
52,whiteboard,whiteboard,327,whiteboard,whiteboard,30,Objects,7.0,whiteboard,,,,,,,,,,,board_panel,35.0,,,,237-80-38
